"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"765","21 - 24","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Business / International Business (AA)","","Asian","MD","Full-Time","Continuing",20878
"766","30 or Older","Evening Only","Yes","No","No","Clarksburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Arts & Sciences Transfer (AA - All Tracks)","","White","MD","Part-Time","Continuing",20871
"767","21 - 24","No Specific Time[online]","Yes","No","Yes","Takoma Park","Montgomery","Hispanic",2015,"Female","MCPS","Computer Applications (AA & AAS)","Wheaton High School","White","MD","Part-Time","Continuing",20912
"768","30 or Older","No Specific Time[online]","No","Yes","Yes","North Potomac","Montgomery","Hispanic",2015,"Male","MCPS","Health Sciences (Pre-Clinical Studies)","Thomas Sprigg Wootton High Sch","Hispanic","MD","Part-Time","Continuing",20878
"769","21 - 24","Day Only","No","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","Credit (Undeclared / Undecided)","Walt Whitman High School","White","MD","Part-Time","Continuing",20854
"770","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Northwood High School","Native American","MD","Part-Time","Continuing",20902
"771","30 or Older","Evening Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20910
"772","20 or Younger","Day & Evening","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Applied Geography (AA & AAS)","Quince Orchard Sr High School","Multi-Race","MD","Full-Time","Continuing",20878
"773","20 or Younger","Day Only","Yes","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","John F. Kennedy High School","White","MD","Part-Time","New",20906
"774","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Computer Science & Technologies (AA - All Tracks)","","Black","MD","Part-Time","New",20906
"775","21 - 24","Day Only","No","Yes","No","Kensington","Montgomery","Not Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20895
"776","30 or Older","Day & Evening","Yes","No","Yes","Rockville","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Full-Time","Continuing",20852
"777","30 or Older","No Specific Time[online]","Yes","Yes","Yes","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","Other State","Microcomputer Technician (AA & AAS)","","Black","MD","Full-Time","Continuing",20886
"778","30 or Older","Day Only","Yes","No","No","Clarksburg","Montgomery","Not Hispanic",2015,"Female","Other Maryland","Credit (Undeclared / Undecided)","","White","MD","Part-Time","Continuing",20871
"779","25 - 29","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Nursing (AA & AAS)","Wheaton High School","Hispanic","MD","Part-Time","Continuing",20906
"780","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Male","Mont.County Other","Computer Gaming & Simulation (AA - All Tracks)","","White","MD","Full-Time","Continuing",20853
"781","21 - 24","Day & Evening","Yes","Yes","No","Boyds","Montgomery","Not Hispanic",2015,"Male","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Northwest HS - Germantown","White","MD","Part-Time","Continuing",20841
"782","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Health Sciences (Pre-Clinical Studies)","Albert Einstein HS & MC Art Cn","Asian","MD","Part-Time","New",20902
"783","30 or Older","Day & Evening","Yes","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Computer Science & Technologies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20850
"784","20 or Younger","Day Only","No","Yes","No","Ashton","Montgomery","Not Hispanic",2015,"Male","MCPS","Automotive Technology (AA & AAS)","Sherwood High School","White","MD","Full-Time","New",20861
"785","25 - 29","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Other State","Arts & Sciences Transfer (AA - All Tracks)","","Multi-Race","MD","Part-Time","Continuing",20876
"786","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Walter Johnson High School","White","MD","Full-Time","Continuing",20852
"787","30 or Older","Evening Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Accounting (AA & AAS)","","Asian","MD","Part-Time","Continuing",20904
"788","20 or Younger","Day Only","No","No","Yes","Hyattsville","Prince George's","Hispanic",2015,"Male","Other State","Criminal Justice (AA & AAS)","","White","MD","Part-Time","New",20783
"789","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Health Sciences (Pre-Clinical Studies)","Quince Orchard Sr High School","Asian","MD","Full-Time","New",20878
"790","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","Foreign Country","Nursing (AA & AAS)","","Hispanic","MD","Part-Time","Continuing",20906
"791","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","HS Student",20850
"792","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","HS Student",20850
"793","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","HS Student",20850
"794","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Computer Science & Technologies (AA - All Tracks)","","Black","MD","Full-Time","New",20904
"795","20 or Younger","Day Only","No","Yes","No","Laurel","Prince George's","Hispanic",2015,"Male","Other Maryland","Criminal Justice (AA & AAS)","","White","MD","Part-Time","New",20707
"796","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Springbrook Sr High School","Multi-Race","MD","Part-Time","Continuing",20904
"797","30 or Older","Evening Only","Yes","Yes","Yes","Rockville","Montgomery","Not Hispanic",2015,"Female","Other State","Business / International Business (AA)","","Asian","MD","Part-Time","Continuing",20853
"798","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Full-Time","Continuing",20877
"799","30 or Older","Day Only","Yes","No","No","North Potomac","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Credit (Undeclared / Undecided)","","Asian","MD","Part-Time","Continuing",20878
"800","20 or Younger","Day Only","Yes","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Thomas Sprigg Wootton High Sch","Black","MD","Part-Time","New",20878
"801","21 - 24","Day Only","Yes","No","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Gaithersburg High School","White","MD","Full-Time","Continuing",20882
"802","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Arts & Sciences Transfer (AA - All Tracks)","John F. Kennedy High School","Asian","MD","Full-Time","New",20902
"803","21 - 24","Day Only","No","Yes","Yes","Lanham","Prince George's","Not Hispanic",2015,"Female","Other Maryland","General Studies (AA - All Tracks)","","White","MD","Part-Time","New",20706
"804","21 - 24","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Business / International Business (AA)","","Black","MD","Part-Time","Continuing",20910
"805","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Albert Einstein HS & MC Art Cn","Black","MD","Full-Time","New",20902
"806","21 - 24","No Specific Time[online]","Yes","No","No","Derwood","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Part-Time","Continuing",20855
"807","21 - 24","No Specific Time[online]","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Seneca Valley High School","Black","MD","Part-Time","Continuing",20874
"808","25 - 29","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Business / International Business (AA)","","Asian","MD","Part-Time","Continuing",20878
"809","20 or Younger","Day & Evening","Yes","Yes","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Science (AS - All Tracks)","","Black","MD","Part-Time","New",20886
"810","20 or Younger","Day & Evening","Yes","Yes","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Female","MCPS","Criminal Justice (AA & AAS)","Watkins Mill High School","Pacific Islander","MD","Full-Time","New",20886
"811","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","GED","Business / International Business (AA)","","White","MD","Part-Time","Continuing",20905
"812","20 or Younger","Day Only","No","Yes","No","Chevy Chase","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","Arts & Sciences Transfer (AA - All Tracks)","","White","MD","Part-Time","Continuing",20815
"813","20 or Younger","Day Only","No","Yes","No","Burtonsville","Montgomery","Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","Bethesda Chevy Chase High Schl","Pacific Islander","MD","Part-Time","New",20866
"814","21 - 24","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Full-Time","Continuing",20904
"815","25 - 29","Day & Evening","No","Yes","Yes","Fort Washington","Prince George's","Not Hispanic",2015,"Male","MCPS","Health Sciences (Pre-Clinical Studies)","Rockville High School","Asian","MD","Full-Time","Continuing",20744
"816","21 - 24","Evening Only","Yes","No","No","Damascus","Montgomery","Unknown",2015,"Female","MCPS","Hospitality Management (AA & AAS)","Walt Whitman High School","White","MD","Part-Time","Continuing",20872
"817","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Accounting (CT)","Gaithersburg High School","Black","MD","Part-Time","HS Student",20879
"818","20 or Younger","Day & Evening","No","Yes","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Colonel Zadok Magruder HS","Black","MD","Part-Time","New",20879
"819","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Unknown",2015,"Female","Other Maryland","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20901
"820","30 or Older","No Specific Time[online]","No","Yes","No","Elkridge","Howard","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Northwest HS - Germantown","White","MD","Part-Time","Continuing",21075
"821","20 or Younger","Day & Evening","No","Yes","No","Derwood","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Full-Time","Continuing",20855
"822","30 or Older","Day Only","No","No","Yes","Germantown","Montgomery","Not Hispanic",2015,"Female","Other State","Nursing (AA & AAS)","","Black","MD","Full-Time","Continuing",20876
"823","25 - 29","Evening Only","Yes","No","No","Bethesda","Montgomery","Unknown",2015,"Male","Other State","Engineering Science (AA & AS - All Tracks)","","White","MD","Part-Time","Continuing",20889
"824","21 - 24","No Specific Time[online]","Yes","Yes","Yes","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Computer Science & Technologies (AA - All Tracks)","Rockville High School","Black","MD","Full-Time","Continuing",20851
"825","25 - 29","Day & Evening","No","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","Credit (Undeclared / Undecided)","Quince Orchard Sr High School","White","MD","Part-Time","Continuing",20878
"826","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Watkins Mill High School","Black","MD","Part-Time","Continuing",20879
"827","25 - 29","Day Only","Yes","Yes","Yes","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Seneca Valley High School","White","MD","Full-Time","Continuing",20874
"828","30 or Older","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Arts & Sciences Transfer (AA - All Tracks)","","Asian","MD","Part-Time","Continuing",20878
"829","20 or Younger","Day Only","Yes","No","No","Washington","Other","Hispanic",2015,"Male","Other State","Business / International Business (AA)","","Hispanic","DC","Part-Time","Continuing",20010
"830","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","Damascus High School","White","MD","Full-Time","New",20882
"831","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","Damascus High School","White","MD","Full-Time","New",20882
"832","21 - 24","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Other State","Engineering Science (AA & AS - All Tracks)","","Black","MD","Part-Time","Continuing",20910
"833","30 or Older","Day Only","No","Yes","No","Bethesda","Montgomery","Hispanic",2015,"Female","Foreign Country","Education / Teacher Education (AA & AAT)","","Native American","MD","Full-Time","Continuing",20817
"834","21 - 24","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Other State","Criminal Justice (AA & AAS)","","White","MD","Full-Time","Continuing",20874
"835","20 or Younger","Day Only","Yes","No","No","Damascus","Montgomery","Hispanic",2015,"Male","Other State","Microcomputer Technician (AA & AAS)","","White","MD","Part-Time","Continuing",20872
"836","30 or Older","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Hispanic",2015,"Male","Foreign Country","General Studies (AA - All Tracks)","","Hispanic","MD","Part-Time","Continuing",20876
"837","20 or Younger","Day Only","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Science (AS - All Tracks)","","White","MD","Full-Time","Continuing",20817
"838","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","John F. Kennedy High School","Asian","MD","Full-Time","Continuing",20853
"839","21 - 24","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Walt Whitman High School","White","MD","Part-Time","Continuing",20876
"840","20 or Younger","Day Only","No","No","Yes","Lanham","Prince George's","Hispanic",2015,"Female","Other Maryland","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20706
"841","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","Asian","MD","Part-Time","Continuing",20903
"842","20 or Younger","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Credit (Undeclared / Undecided)","John F. Kennedy High School","Black","MD","Part-Time","New",20901
"843","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Arts & Sciences Transfer (AA - All Tracks)","","Asian","MD","Part-Time","Continuing",20902
"844","25 - 29","No Specific Time[online]","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Northwest HS - Germantown","White","MD","Part-Time","Continuing",20874
"845","30 or Older","Day Only","No","No","Yes","North Potomac","Montgomery","Not Hispanic",2015,"Female","Other State","Nursing (AA & AAS)","","White","MD","Part-Time","Continuing",20878
"846","20 or Younger","Day Only","Yes","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","John F. Kennedy High School","Black","MD","Full-Time","New",20906
"847","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Northwest HS - Germantown","Black","MD","Part-Time","Continuing",20874
"848","21 - 24","Day Only","No","Yes","No","Takoma Park","Montgomery","Not Hispanic",2015,"Male","Other State","Studio Art (AFA)","","Black","MD","Part-Time","Continuing",20912
"849","30 or Older","Evening Only","Yes","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","GED","Health Sciences (Pre-Clinical Studies)","","Hispanic","MD","Part-Time","Continuing",20906
"850","20 or Younger","Day & Evening","No","Yes","No","Olney","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Sherwood High School","White","MD","Full-Time","Continuing",20832
"851","21 - 24","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","Other Maryland","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20874
"852","21 - 24","Day Only","No","Yes","Yes","Bethesda","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","Asian","MD","Full-Time","Continuing",20814
"853","21 - 24","Day Only","Yes","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Business / International Business (AA)","Bethesda Chevy Chase High Schl","Black","MD","Full-Time","Continuing",20851
"854","30 or Older","Evening Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Credit (Undeclared / Undecided)","","Asian","MD","Part-Time","Continuing",20910
"855","21 - 24","Evening Only","Yes","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Wheaton High School","Black","MD","Part-Time","Continuing",20906
"856","21 - 24","Evening Only","No","Yes","No","Kensington","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Albert Einstein HS & MC Art Cn","Hispanic","MD","Part-Time","Continuing",20895
"857","20 or Younger","Day Only","No","Yes","No","Washington","Other","Not Hispanic",2015,"Male","Other State","Computer Science - Computer Programming (CT)","","Asian","DC","Part-Time","New",20017
"858","25 - 29","No Specific Time[online]","No","No","Yes","Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","Continuing",20854
"859","20 or Younger","Day & Evening","No","No","Yes","Washington","Other","Not Hispanic",2015,"Male","Other State","Science (AS - All Tracks)","","Black","DC","Part-Time","New",20018
"860","20 or Younger","Day Only","No","No","Yes","Washington","Other","Not Hispanic",2015,"Male","Other State","Graphic Design (AA, AAS, & AFA - All Tracks)","","Black","DC","Part-Time","Continuing",20011
"861","30 or Older","Evening Only","No","Yes","Yes","Germantown","Montgomery","Not Hispanic",2015,"Female","Other State","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20876
"862","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Wheaton High School","White","MD","Full-Time","New",20902
"863","21 - 24","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Communication Studies (AA)","Albert Einstein HS & MC Art Cn","Hispanic","MD","Full-Time","Continuing",20902
"864","21 - 24","No Specific Time[online]","No","Yes","Yes","Derwood","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Part-Time","Continuing",20855
"865","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","Criminal Justice (AA & AAS)","John F. Kennedy High School","White","MD","Part-Time","Continuing",20852
"866","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Business / International Business (AA)","James Hubert Blake High School","Black","MD","Full-Time","Continuing",20904
"867","20 or Younger","Day & Evening","Yes","No","No","Clarksburg","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Richard Montgomery High School","White","MD","Part-Time","Continuing",20871
"868","25 - 29","Day & Evening","No","Yes","No","Chevy Chase","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Walt Whitman High School","White","MD","Part-Time","Continuing",20815
"869","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","John F. Kennedy High School","White","MD","Part-Time","Continuing",20906
"870","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Computer Science & Technologies (AA - All Tracks)","Quince Orchard Sr High School","White","MD","Part-Time","Continuing",20874
"871","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Albert Einstein HS & MC Art Cn","Black","MD","Full-Time","Continuing",20906
"872","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","White","MD","Full-Time","Continuing",20906
"873","20 or Younger","Day & Evening","No","Yes","Yes","Hyattsville","Prince George's","Not Hispanic",2015,"Male","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Full-Time","Continuing",20785
"874","25 - 29","Evening Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","GED","Credit (Undeclared / Undecided)","","Asian","MD","Part-Time","Continuing",20850
"875","20 or Younger","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Full-Time","Continuing",20877
"876","20 or Younger","Day Only","Yes","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","White","MD","Full-Time","Continuing",20877
"877","21 - 24","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","Credit (Undeclared / Undecided)","Damascus High School","Hispanic","MD","Part-Time","Continuing",20882
"878","21 - 24","Day & Evening","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","Other State","Criminal Justice (AA & AAS)","","White","MD","Part-Time","Continuing",20903
"879","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Clarksburg High School","White","MD","Part-Time","New",20850
"880","20 or Younger","Day Only","No","Yes","No","Montgomery Village","Montgomery","Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Richard Montgomery High School","Black","MD","Part-Time","Continuing",20886
"881","25 - 29","Day Only","No","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","Foreign Country","Business / International Business (AA)","","Hispanic","MD","Part-Time","Continuing",20878
"882","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Colonel Zadok Magruder HS","Black","MD","Full-Time","Continuing",20877
"883","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Richard Montgomery High School","Asian","MD","Full-Time","New",20851
"884","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20906
"885","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20906
"886","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20906
"887","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20906
"888","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20906
"889","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20906
"890","21 - 24","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","Home-Schooled","Studio Art (AFA) - School of Art & Design","","Asian","MD","Part-Time","Continuing",20874
"891","21 - 24","Day & Evening","No","Yes","No","Derwood","Montgomery","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20855
"892","30 or Older","Evening Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20902
"893","20 or Younger","Day Only","No","No","Yes","Burtonsville","Montgomery","Not Hispanic",2015,"Male","MCPS","Digital Media & Web Technology (CT)","Paint Branch High School","Black","MD","Full-Time","Continuing",20866
"894","20 or Younger","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Clarksburg High School","Black","MD","Part-Time","Continuing",20876
"895","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Northwest HS - Germantown","Black","MD","Full-Time","New",20874
"896","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Full-Time","Continuing",20910
"897","30 or Older","No Specific Time[online]","No","No","Yes","Germantown","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20874
"898","30 or Older","No Specific Time[online]","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Credit (Undeclared / Undecided)","","White","MD","Part-Time","Continuing",20878
"899","30 or Older","Day Only","No","No","Yes","Laurel","Prince George's","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Transfer with degree",20708
"900","20 or Younger","Day Only","No","Yes","Yes","College Park","Prince George's","Not Hispanic",2015,"Female","Other Maryland","Science (AS - All Tracks)","","Black","MD","Part-Time","Continuing",20740
"901","25 - 29","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Other State","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","Continuing",20878
"902","21 - 24","Day Only","No","Yes","Yes","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Walter Johnson High School","White","MD","Part-Time","Continuing",20852
"903","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Northwood High School","White","MD","Full-Time","Transfer no degree",20901
"904","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Northwest HS - Germantown","White","MD","Part-Time","HS Student",20874
