"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"688","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Montgomery Blair High School","Asian","MD","Part-Time","Continuing",20906
"689","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Quince Orchard Sr High School","Asian","MD","Full-Time","Continuing",20878
"690","25 - 29","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Architectural & Construction Tech (AA & AAS)","","Black","MD","Part-Time","Continuing",20904
"691","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Paint Branch High School","Asian","MD","Part-Time","Continuing",20904
"692","20 or Younger","Day Only","No","No","Yes","Hyattsville","Prince George's","Hispanic",2015,"Female","Other Maryland","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","New",20781
"693","20 or Younger","Day Only","No","No","Yes","Beltsville","Prince George's","Not Hispanic",2015,"Female","Other Maryland","Commun & Broadcasting Tech (AA & AAS - All Tracks)","","Asian","MD","Part-Time","Continuing",20705
"694","30 or Older","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Credit (Undeclared / Undecided)","Walt Whitman High School","White","MD","Part-Time","Continuing",20855
"695","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Springbrook Sr High School","Asian","MD","Full-Time","New",20903
"696","30 or Older","No Specific Time[online]","No","No","Yes","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Richard Montgomery High School","Black","MD","Part-Time","Continuing",20874
"697","21 - 24","Day Only","Yes","No","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Northwood High School","White","MD","Part-Time","Continuing",20902
"698","20 or Younger","Evening Only","Yes","Yes","No","Clarksburg","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Clarksburg High School","White","MD","Full-Time","Continuing",20871
"699","30 or Older","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Graphic Design (AA, AAS, & AFA - All Tracks)","","White","MD","Part-Time","Continuing",20852
"700","30 or Older","Day Only","No","Yes","No","Potomac","Montgomery","Not Hispanic",2015,"Female","Other State","Education / Teacher Education (AA & AAT)","","White","MD","Part-Time","Transfer with degree",20854
"701","20 or Younger","Day Only","Yes","Yes","Yes","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","John F. Kennedy High School","Multi-Race","MD","Full-Time","Continuing",20853
"702","30 or Older","No Specific Time[online]","No","No","Yes","Rockville","Montgomery","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Transfer no degree",20853
"703","21 - 24","Evening Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Quince Orchard Sr High School","White","MD","Part-Time","Continuing",20874
"704","20 or Younger","Day Only","No","No","Yes","Washington","Other","Not Hispanic",2015,"Female","Other State","Computer Applications (AA & AAS)","","Black","DC","Part-Time","New",20011
"705","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","GED","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20903
"706","30 or Older","Evening Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","Foreign Country","Education / Teacher Education (AA & AAT)","","White","MD","Part-Time","Continuing",20850
"707","20 or Younger","Day Only","No","No","Yes","Hyattsville","Prince George's","Not Hispanic",2015,"Male","Other State","Accounting (AA & AAS)","","Asian","MD","Part-Time","Continuing",20783
"708","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Wheaton High School","Hispanic","MD","Part-Time","Continuing",20902
"709","21 - 24","Day Only","Yes","No","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Watkins Mill High School","Native American","MD","Part-Time","Continuing",20879
"710","20 or Younger","Day Only","No","Yes","No","Boyds","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Northwest HS - Germantown","White","MD","Full-Time","Continuing",20841
"711","30 or Older","Day Only","No","No","Yes","Burtonsville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20866
"712","21 - 24","Day Only","No","Yes","No","Germantown","Montgomery","Hispanic",2015,"Male","MCPS","Computer Gaming & Simulation (AA - All Tracks)","Gaithersburg High School","Hispanic","MD","Part-Time","Continuing",20876
"713","20 or Younger","Evening Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Seneca Valley High School","Asian","MD","Part-Time","Continuing",20876
"714","20 or Younger","Day Only","No","No","Yes","Hyattsville","Prince George's","Hispanic",2015,"Male","Other Maryland","Cybersecurity (AAS)","","Native American","MD","Part-Time","New",20783
"715","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Accounting (AA & AAS)","Damascus High School","White","MD","Full-Time","New",20882
"716","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Gaming & Simulation (AA - All Tracks)","Montgomery Blair High School","Black","MD","Part-Time","Continuing",20877
"717","25 - 29","Evening Only","No","Yes","No","Boyds","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","Black","MD","Part-Time","Continuing",20841
"718","25 - 29","Evening Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Transfer no degree",20901
